No. of substructures,64,,,,,,,,,,,
DV Bounds:,Units: SI (m),,,,,,,,,,,
Thick13  Min:,0.0005, Max:,0.002, Step:,0.0005,,,,,,,
Thick24  Min:,0.0005, Max:,0.002, Step:,0.0005,,,,,,,
"Fillet	 Min:",0.0004, Max:,0.00175, Step:,0.00045,,,,,,,
CornerSize: ,0.0018,,,,,,,,,,,
Substructure,ID,Material,K_xy,K_y,K_theta,mass,maxMises1,maxMises2,maxMises3,Thick13,Thick24,Fillet
Cross,48,Titanium Alpha-Beta,13057683456,21293412352,394102.438,0.262,72236224,83799760,817242176,0.15,0.2,0.175
Cross,49,Titanium Alpha-Beta,9686432768,12159080448,262580.906,0.228,70136544,80923928,772534656,0.2,0.05,0.04
Cross,50,Titanium Alpha-Beta,9864607744,12649665536,269891.5,0.23,70784888,87376264,782603584,0.2,0.05,0.085
Cross,51,Titanium Alpha-Beta,10098806784,13247161344,279657.562,0.233,71247952,92619576,798740800,0.2,0.05,0.13
Cross,52,Titanium Alpha-Beta,10404531200,14073022464,292857.156,0.237,71930704,94804288,814373568,0.2,0.05,0.175
Cross,53,Titanium Alpha-Beta,11146907648,15300964352,307224.688,0.24,69651112,84372928,773820544,0.2,0.1,0.04
Cross,54,Titanium Alpha-Beta,11310991360,15965601792,316059.344,0.242,70405032,80793984,784652032,0.2,0.1,0.085
Cross,55,Titanium Alpha-Beta,11536585728,16773434368,327989.156,0.245,71060008,80137944,802530176,0.2,0.1,0.13
Cross,56,Titanium Alpha-Beta,11820807168,17748582400,343493.594,0.249,71883304,81993992,818231552,0.2,0.1,0.175
Cross,57,Titanium Alpha-Beta,12402489344,18438993920,350499.531,0.254,69570312,84776688,769950784,0.2,0.15,0.04
Cross,58,Titanium Alpha-Beta,12561769472,19234062336,361388.938,0.255,70479728,76593456,782329408,0.2,0.15,0.085
Cross,59,Titanium Alpha-Beta,12778959872,20176781312,375710.719,0.258,71247296,80182928,800602752,0.2,0.15,0.13
Cross,60,Titanium Alpha-Beta,13056374784,21291644928,394149.344,0.262,72207464,84340400,816853952,0.2,0.15,0.175
Cross,61,Titanium Alpha-Beta,13617317888,21674590208,397552.438,0.268,69962288,87385280,766589440,0.2,0.2,0.04
Cross,62,Titanium Alpha-Beta,13767756800,22600855552,410539.562,0.27,70600368,83691048,779399040,0.2,0.2,0.085
Cross,63,Titanium Alpha-Beta,13980068864,23669999616,427445.656,0.273,71519112,87081488,794467264,0.2,0.2,0.13
Cross,64,Titanium Alpha-Beta,14258173952,24917680128,449041.375,0.277,72628416,90926608,810094848,0.2,0.2,0.175
