Ind#;Desired DVs;Actual DVs;Perf. Metrics
470;0.582,0.343,0.715,1.026,0.746,0.568,0.586,1.699,0.790,1.340,0.685,1.907,0.332,0.990,0.344,0.414,0.301,1.110,0.153,1.210,0.608,0.402,0.165,1.791,0.554,1.205,0.359,0.399,0.156,0.605;0.600,0.500,0.600,1.500,0.600,0.500,0.600,1.500,0.600,1.500,0.600,1.500,0.200,0.500,0.200,0.500,0.200,1.500,0.200,1.500,0.600,0.500,0.200,1.500,0.600,1.500,0.200,0.500,0.200,0.500;1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646
471;0.713,1.563,0.138,1.081,0.714,0.927,0.687,0.688,0.556,1.159,0.434,0.326,0.250,0.335,0.342,0.856,0.555,0.865,0.688,0.900,0.740,1.354,0.579,1.629,0.106,1.707,0.639,0.916,0.682,1.026;0.600,1.500,0.200,1.500,0.600,0.500,0.600,0.500,0.600,1.500,0.600,0.500,0.200,0.500,0.200,0.500,0.600,0.500,0.600,0.500,0.600,1.500,0.600,1.500,0.200,1.500,0.600,0.500,0.600,1.500;1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002
472;0.405,1.369,0.122,1.543,0.269,1.741,0.177,0.834,0.539,0.569,0.386,0.440,0.661,1.454,0.185,0.837,0.418,0.891,0.760,1.678,0.390,0.984,0.389,1.128,0.300,0.944,0.516,0.169,0.784,0.355;0.600,1.500,0.200,1.500,0.200,1.500,0.200,0.500,0.600,0.500,0.200,0.500,0.600,1.500,0.200,0.500,0.600,0.500,0.600,1.500,0.200,0.500,0.200,1.500,0.200,0.500,0.600,0.500,0.600,0.500;1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116
473;0.259,1.503,0.425,1.138,0.668,1.557,0.245,1.984,0.140,1.435,0.790,1.279,0.366,0.521,0.368,1.685,0.573,1.452,0.126,0.282,0.777,1.289,0.101,0.699,0.509,1.983,0.762,0.516,0.578,0.253;0.200,1.500,0.600,1.500,0.600,1.500,0.200,1.500,0.200,1.500,0.600,1.500,0.200,0.500,0.200,1.500,0.600,1.500,0.200,0.500,0.600,1.500,0.200,0.500,0.600,1.500,0.600,0.500,0.600,0.500;565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116
474;0.365,1.840,0.690,1.665,0.512,1.239,0.695,1.507,0.226,0.158,0.778,1.241,0.772,0.545,0.550,0.431,0.533,1.785,0.555,0.798,0.115,0.961,0.731,0.117,0.121,0.977,0.600,0.249,0.425,0.154;0.200,1.500,0.600,1.500,0.600,1.500,0.600,1.500,0.200,0.500,0.600,1.500,0.600,0.500,0.600,0.500,0.600,1.500,0.600,0.500,0.200,0.500,0.600,0.500,0.200,0.500,0.600,0.500,0.600,0.500;565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116
475;0.732,0.279,0.203,1.283,0.749,0.591,0.414,0.354,0.648,0.758,0.164,1.818,0.711,0.549,0.434,1.305,0.513,0.131,0.330,1.884,0.283,1.449,0.576,0.538,0.141,0.644,0.516,1.178,0.674,1.382;0.600,0.500,0.200,1.500,0.600,0.500,0.600,0.500,0.600,0.500,0.200,1.500,0.600,0.500,0.600,1.500,0.600,0.500,0.200,1.500,0.200,1.500,0.600,0.500,0.200,0.500,0.600,1.500,0.600,1.500;1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002
476;0.412,0.419,0.131,1.618,0.416,1.713,0.594,1.131,0.509,0.139,0.413,1.186,0.527,1.360,0.251,1.860,0.122,1.908,0.235,1.812,0.328,0.557,0.239,0.950,0.333,0.583,0.647,1.860,0.578,1.233;0.600,0.500,0.200,1.500,0.600,1.500,0.600,1.500,0.600,0.500,0.600,1.500,0.600,1.500,0.200,1.500,0.200,1.500,0.200,1.500,0.200,0.500,0.200,0.500,0.200,0.500,0.600,1.500,0.600,1.500;1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002
477;0.380,1.220,0.538,1.474,0.443,0.122,0.362,1.303,0.773,0.101,0.721,1.256,0.115,1.736,0.555,0.364,0.566,1.774,0.384,0.102,0.480,1.733,0.481,1.332,0.183,0.352,0.244,0.220,0.111,0.513;0.200,1.500,0.600,1.500,0.600,0.500,0.200,1.500,0.600,0.500,0.600,1.500,0.200,1.500,0.600,0.500,0.600,1.500,0.200,0.500,0.600,1.500,0.600,1.500,0.200,0.500,0.200,0.500,0.200,0.500;565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646
478;0.413,1.704,0.757,1.507,0.601,0.248,0.177,1.259,0.477,0.690,0.423,1.083,0.448,0.998,0.481,0.827,0.762,1.485,0.168,1.655,0.563,1.911,0.390,1.751,0.560,1.557,0.168,0.603,0.367,1.721;0.600,1.500,0.600,1.500,0.600,0.500,0.200,1.500,0.600,0.500,0.600,1.500,0.600,0.500,0.600,0.500,0.600,1.500,0.200,1.500,0.600,1.500,0.200,1.500,0.600,1.500,0.200,0.500,0.200,1.500;1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533
479;0.155,1.965,0.449,0.700,0.537,1.472,0.686,1.315,0.382,1.418,0.135,1.107,0.438,0.216,0.370,1.187,0.183,0.991,0.306,0.549,0.433,1.700,0.240,0.545,0.539,1.620,0.676,1.895,0.320,1.247;0.200,1.500,0.600,0.500,0.600,1.500,0.600,1.500,0.200,1.500,0.200,1.500,0.600,0.500,0.200,1.500,0.200,0.500,0.200,0.500,0.600,1.500,0.200,0.500,0.600,1.500,0.600,1.500,0.200,1.500;565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533
480;0.586,1.259,0.703,0.217,0.737,1.143,0.148,1.117,0.661,1.103,0.455,1.181,0.433,1.073,0.677,0.458,0.173,1.666,0.449,0.718,0.556,0.593,0.373,0.400,0.133,1.402,0.765,1.373,0.411,1.150;0.600,1.500,0.600,0.500,0.600,1.500,0.200,1.500,0.600,1.500,0.600,1.500,0.600,1.500,0.600,0.500,0.200,1.500,0.600,0.500,0.600,0.500,0.200,0.500,0.200,1.500,0.600,1.500,0.600,1.500;1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002
481;0.392,0.440,0.186,0.696,0.196,1.869,0.653,1.960,0.629,0.656,0.508,0.104,0.582,0.259,0.211,0.382,0.168,0.257,0.602,1.337,0.649,0.390,0.344,0.644,0.640,1.824,0.756,1.543,0.343,0.405;0.200,0.500,0.200,0.500,0.200,1.500,0.600,1.500,0.600,0.500,0.600,0.500,0.600,0.500,0.200,0.500,0.200,0.500,0.600,1.500,0.600,0.500,0.200,0.500,0.600,1.500,0.600,1.500,0.200,0.500;518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646
482;0.214,1.968,0.203,1.540,0.252,1.470,0.186,1.583,0.592,0.543,0.198,1.469,0.436,1.871,0.508,1.816,0.368,1.366,0.281,1.042,0.631,0.654,0.218,1.937,0.264,1.787,0.188,1.561,0.286,0.271;0.200,1.500,0.200,1.500,0.200,1.500,0.200,1.500,0.600,0.500,0.200,1.500,0.600,1.500,0.600,1.500,0.200,1.500,0.200,1.500,0.600,0.500,0.200,1.500,0.200,1.500,0.200,1.500,0.200,0.500;565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646
483;0.257,1.473,0.397,0.725,0.649,1.021,0.736,0.721,0.520,0.299,0.147,1.459,0.617,1.744,0.626,0.573,0.613,1.900,0.117,1.392,0.440,0.823,0.412,0.905,0.326,0.103,0.684,0.884,0.476,1.302;0.200,1.500,0.200,0.500,0.600,1.500,0.600,0.500,0.600,0.500,0.200,1.500,0.600,1.500,0.600,0.500,0.600,1.500,0.200,1.500,0.600,0.500,0.600,0.500,0.200,0.500,0.600,0.500,0.600,1.500;565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002
484;0.531,0.892,0.638,0.491,0.336,1.549,0.270,1.434,0.774,0.913,0.512,0.674,0.548,0.713,0.167,0.255,0.563,0.295,0.340,0.941,0.672,1.633,0.595,0.859,0.799,1.478,0.230,0.378,0.310,1.748;0.600,0.500,0.600,0.500,0.200,1.500,0.200,1.500,0.600,0.500,0.600,0.500,0.600,0.500,0.200,0.500,0.600,0.500,0.200,0.500,0.600,1.500,0.600,0.500,0.600,1.500,0.200,0.500,0.200,1.500;1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533
485;0.197,0.922,0.378,1.747,0.129,0.569,0.602,1.269,0.591,0.323,0.376,1.401,0.631,1.266,0.610,1.305,0.516,1.108,0.320,0.261,0.273,1.944,0.734,1.160,0.144,1.366,0.763,1.055,0.232,0.857;0.200,0.500,0.200,1.500,0.200,0.500,0.600,1.500,0.600,0.500,0.200,1.500,0.600,1.500,0.600,1.500,0.600,1.500,0.200,0.500,0.200,1.500,0.600,1.500,0.200,1.500,0.600,1.500,0.200,0.500;518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646
486;0.483,1.763,0.752,1.511,0.768,0.918,0.163,1.724,0.416,1.772,0.641,1.175,0.451,0.720,0.733,1.131,0.284,0.610,0.761,1.646,0.342,1.701,0.594,0.775,0.329,1.349,0.755,1.289,0.762,1.978;0.600,1.500,0.600,1.500,0.600,0.500,0.200,1.500,0.600,1.500,0.600,1.500,0.600,0.500,0.600,1.500,0.200,0.500,0.600,1.500,0.200,1.500,0.600,0.500,0.200,1.500,0.600,1.500,0.600,1.500;1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002
487;0.759,1.940,0.289,1.540,0.487,0.759,0.534,0.228,0.460,1.079,0.235,1.642,0.214,1.067,0.608,1.803,0.363,0.685,0.273,0.577,0.396,0.239,0.168,0.543,0.289,0.781,0.161,0.847,0.199,1.328;0.600,1.500,0.200,1.500,0.600,0.500,0.600,0.500,0.600,1.500,0.200,1.500,0.200,1.500,0.600,1.500,0.200,0.500,0.200,0.500,0.200,0.500,0.200,0.500,0.200,0.500,0.200,0.500,0.200,1.500;1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533
488;0.278,0.429,0.251,1.402,0.348,1.161,0.325,0.983,0.401,1.944,0.438,1.545,0.177,1.196,0.704,0.737,0.153,1.686,0.449,0.422,0.526,0.972,0.178,0.422,0.709,0.619,0.334,1.907,0.546,0.371;0.200,0.500,0.200,1.500,0.200,1.500,0.200,0.500,0.600,1.500,0.600,1.500,0.200,1.500,0.600,0.500,0.200,1.500,0.600,0.500,0.600,0.500,0.200,0.500,0.600,0.500,0.200,1.500,0.600,0.500;518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116
489;0.643,0.584,0.379,0.557,0.344,1.685,0.417,0.863,0.112,0.697,0.489,1.610,0.293,1.679,0.719,0.422,0.419,0.422,0.165,1.048,0.253,0.934,0.497,1.924,0.609,0.134,0.602,0.138,0.245,1.911;0.600,0.500,0.200,0.500,0.200,1.500,0.600,0.500,0.200,0.500,0.600,1.500,0.200,1.500,0.600,0.500,0.600,0.500,0.200,1.500,0.200,0.500,0.600,1.500,0.600,0.500,0.600,0.500,0.200,1.500;1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533
490;0.676,1.819,0.471,0.853,0.115,1.893,0.285,1.929,0.527,0.156,0.197,0.328,0.516,0.368,0.524,0.654,0.664,1.626,0.771,0.127,0.369,0.633,0.139,0.405,0.535,1.379,0.277,0.293,0.125,1.088;0.600,1.500,0.600,0.500,0.200,1.500,0.200,1.500,0.600,0.500,0.200,0.500,0.600,0.500,0.600,0.500,0.600,1.500,0.600,0.500,0.200,0.500,0.200,0.500,0.600,1.500,0.200,0.500,0.200,1.500;1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533
491;0.228,0.557,0.754,0.651,0.261,0.308,0.490,1.518,0.240,0.822,0.249,0.595,0.626,0.391,0.716,1.518,0.636,0.165,0.351,0.218,0.524,0.961,0.102,0.247,0.399,1.614,0.249,0.295,0.732,0.618;0.200,0.500,0.600,0.500,0.200,0.500,0.600,1.500,0.200,0.500,0.200,0.500,0.600,0.500,0.600,1.500,0.600,0.500,0.200,0.500,0.600,0.500,0.200,0.500,0.200,1.500,0.200,0.500,0.600,0.500;518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116
