Ind#;Desired DVs;Actual DVs;Perf. Metrics
10;0.765,1.733,0.375,0.741,0.622,1.196,0.222,0.320,0.753,1.672,0.369,0.762,0.559,1.865,0.662,0.954,0.253,0.988,0.109,0.956,0.636,1.128,0.678,1.246,0.245,1.620,0.245,1.372,0.301,0.669;0.600,1.500,0.200,0.500,0.600,1.500,0.200,0.500,0.600,1.500,0.200,0.500,0.600,1.500,0.600,0.500,0.200,0.500,0.200,0.500,0.600,1.500,0.600,1.500,0.200,1.500,0.200,1.500,0.200,0.500;1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646
11;0.124,1.630,0.570,1.255,0.669,0.149,0.118,0.198,0.634,0.746,0.587,0.180,0.757,1.491,0.596,0.563,0.746,1.944,0.524,1.187,0.362,1.597,0.313,0.407,0.525,1.355,0.177,0.661,0.448,1.244;0.200,1.500,0.600,1.500,0.600,0.500,0.200,0.500,0.600,0.500,0.600,0.500,0.600,1.500,0.600,0.500,0.600,1.500,0.600,1.500,0.200,1.500,0.200,0.500,0.600,1.500,0.200,0.500,0.600,1.500;565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002
12;0.407,1.196,0.619,1.508,0.368,0.948,0.768,0.678,0.679,1.709,0.540,0.370,0.534,1.525,0.702,1.751,0.324,1.698,0.504,1.605,0.233,1.752,0.675,1.307,0.343,1.088,0.496,1.393,0.227,0.477;0.600,1.500,0.600,1.500,0.200,0.500,0.600,0.500,0.600,1.500,0.600,0.500,0.600,1.500,0.600,1.500,0.200,1.500,0.600,1.500,0.200,1.500,0.600,1.500,0.200,1.500,0.600,1.500,0.200,0.500;1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646
13;0.367,0.448,0.464,0.299,0.532,1.328,0.401,1.202,0.501,0.568,0.415,0.246,0.298,0.874,0.647,1.104,0.700,0.249,0.665,0.898,0.553,1.596,0.496,1.703,0.602,0.730,0.292,0.848,0.754,1.348;0.200,0.500,0.600,0.500,0.600,1.500,0.600,1.500,0.600,0.500,0.600,0.500,0.200,0.500,0.600,1.500,0.600,0.500,0.600,0.500,0.600,1.500,0.600,1.500,0.600,0.500,0.200,0.500,0.600,1.500;518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002
14;0.636,0.556,0.343,0.343,0.503,1.090,0.773,1.109,0.655,1.205,0.432,1.507,0.244,0.555,0.243,1.837,0.282,0.551,0.558,1.112,0.103,1.942,0.138,1.586,0.120,1.875,0.150,0.844,0.758,1.427;0.600,0.500,0.200,0.500,0.600,1.500,0.600,1.500,0.600,1.500,0.600,1.500,0.200,0.500,0.200,1.500,0.200,0.500,0.600,1.500,0.200,1.500,0.200,1.500,0.200,1.500,0.200,0.500,0.600,1.500;1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002
15;0.657,1.784,0.205,1.144,0.471,0.807,0.634,1.812,0.330,1.882,0.765,0.967,0.407,1.090,0.795,1.950,0.715,1.653,0.715,1.859,0.298,0.443,0.282,0.603,0.147,0.568,0.211,0.493,0.514,0.973;0.600,1.500,0.200,1.500,0.600,0.500,0.600,1.500,0.200,1.500,0.600,0.500,0.600,1.500,0.600,1.500,0.600,1.500,0.600,1.500,0.200,0.500,0.200,0.500,0.200,0.500,0.200,0.500,0.600,0.500;1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,1507256576.000,1541863424.000,150905323520.000,450926.116
16;0.231,0.154,0.510,1.022,0.293,1.881,0.105,1.127,0.256,0.191,0.158,1.370,0.119,0.516,0.166,1.212,0.232,0.871,0.732,1.808,0.547,1.868,0.512,0.698,0.749,1.071,0.135,1.477,0.101,0.400;0.200,0.500,0.600,1.500,0.200,1.500,0.200,1.500,0.200,0.500,0.200,1.500,0.200,0.500,0.200,1.500,0.200,0.500,0.600,1.500,0.600,1.500,0.600,0.500,0.600,1.500,0.200,1.500,0.200,0.500;518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646
17;0.443,1.031,0.284,1.792,0.274,1.676,0.576,0.921,0.319,0.203,0.296,1.429,0.713,1.701,0.555,0.326,0.631,0.986,0.207,1.135,0.514,0.186,0.436,0.448,0.161,1.507,0.577,1.657,0.732,0.901;0.600,1.500,0.200,1.500,0.200,1.500,0.600,0.500,0.200,0.500,0.200,1.500,0.600,1.500,0.600,0.500,0.600,0.500,0.200,1.500,0.600,0.500,0.600,0.500,0.200,1.500,0.600,1.500,0.600,0.500;1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116
18;0.412,0.419,0.131,1.618,0.416,1.713,0.594,1.131,0.509,0.139,0.413,1.186,0.527,1.360,0.251,1.860,0.122,1.908,0.235,1.812,0.328,0.557,0.239,0.950,0.333,0.583,0.647,1.860,0.578,1.233;0.600,0.500,0.200,1.500,0.600,1.500,0.600,1.500,0.600,0.500,0.600,1.500,0.600,1.500,0.200,1.500,0.200,1.500,0.200,1.500,0.200,0.500,0.200,0.500,0.200,0.500,0.600,1.500,0.600,1.500;1507256576.000,1541863424.000,150905323520.000,450926.116,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002
19;0.552,1.959,0.628,1.495,0.259,0.808,0.552,1.454,0.681,1.395,0.511,1.295,0.243,1.651,0.271,1.228,0.550,1.934,0.654,0.198,0.792,0.117,0.267,0.721,0.468,1.707,0.665,1.077,0.152,0.712;0.600,1.500,0.600,1.500,0.200,0.500,0.600,1.500,0.600,1.500,0.600,1.500,0.200,1.500,0.200,1.500,0.600,1.500,0.600,0.500,0.600,0.500,0.200,0.500,0.600,1.500,0.600,1.500,0.200,0.500;1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,565774144.000,572452608.000,56693096448.000,416230.533,565774144.000,572452608.000,56693096448.000,416230.533,1597402240.000,1634514944.000,159911870464.000,457347.002,1507256576.000,1541863424.000,150905323520.000,450926.116,1507256576.000,1541863424.000,150905323520.000,450926.116,518957952.000,525275072.000,52037672960.000,409809.646,1597402240.000,1634514944.000,159911870464.000,457347.002,1597402240.000,1634514944.000,159911870464.000,457347.002,518957952.000,525275072.000,52037672960.000,409809.646
